a	阿呵啊嗄腌吖錒锕
chang	苌瓺仩淐鱨伥裮瑺琩腸敞昌償鯧長畅嫦氅閶怅长椙倘尝昶鬯悵畼娼誯镸錩场玚兏鲿鼚暢厂鲳仧厰嘗偿菖鋹焻萇蟐锠裳倡場唱常惝廠倀甞塲韔僘阊膓肠徜嚐猖
chao	罺牊麨绰鼂漅巐巢炒煼觘吵訬仦超潮鼌巣朝耖怊謿晁仯鄛樔焣窼剿欩抄弨窲嘲鈔焯眧钞轈
che	頙撦尺蛼瞮掣偖车撤爡伡坼砗唓硨澈扯硩聅車徹烢屮迠莗彻勶俥
chen	陳捵棽衬儭夦辰瞋諶忱沉嗔郴塵讖抻莀晨尘墋趁螴齔栕琛烥谶踸臣磣瘎煁薼鷐碜莐敐櫬龀嚫麎賝謓軙趻鍖諃谌齓宸迧敶陈樄曟贂榇襯硶茞蔯訦愖疢霃称趂桭綝伧鈂
cheng	程成牚絾懲峸侱緽脭筬悜頳庱蟶瀓枨窚珹秤檉檙樘爯塍噌泟荿竀赬赪鯎阷塖稱骋棦乘偁鏿呈澂称埕掁酲畻洆溗挰柽盛惩誠撑饓揨珵娍撐晿浾睈铖朾鐣憕橕碀摚澄宬椉铛棖琤诚堘橙城蛏靗瞠憆裎郕承鋮騬騁罉徎丞乗穪逞
chi	垑恥螭褫篪喫痴鸱媸瓻謘敕熾翨誺胣遫鷘欼摛瘈妛鉹眵貾竾蚇豉墀赤彳筂炽伬袲憏斥恜訵迡歯湁殦遟驰嗤袳勑癡雴赿池侈黐漦叺傺瘛卶叱麶饬翄弛荎鴟迟馳杘侙彲蚩瞝鍉坻彨絺胵飭灻痸懘翤烾翅魑尺遲抶粚慗茌趩呎哧遅箎持噄齝笞勅鵄啻吃蚳踟齒銐鉓鶒匙肔齿裭耻腟攡
chong	緟冲憃崈宠舂艟漴寵忡浺埫充铳憧摏隀罿种崇茺褈衝銃珫揰沖蝩翀蹖重嘃爞涌蟲虫
chou	燽雠酧踌紬愁臭雔儔丒讐惆偢鮘绸醜畴雦皗瘳懤矁籌抽俦吜疇搊篘魗醻杻嬦裯讎犫瞅檮犨菗栦絒殠臰丑稠躊椆綢帱遚杽筹詶薵仇幬酬
chu	禇処榋岀竌齣畜础礎鉏泏樗璴滀儊齼芻傗绌鄐豠楚雏黜珿储儲濋蹰搐廚橱蟵褚矗蒢篨嘼櫥憷躕埱欪初斶蜍敊歜鋤諔觸媰櫉檚臅摴滁蒭触出除竐杵雛亍处貙楮趎幮豖厨刍耡犓俶怵齭處椘閦絀助锄鶵躇
chua	欻
chuai	膪揣踹搋膗啜嘬
chuan	椽篅氚舩暷歂踳传猭喘穿汌舡串玔船剶瑏巛鶨釧遄賗輲荈川舛傳僢钏
chuang	闯牀窻摐怆傸牕闖剏愴疮剙幢创床創刅磢刱窓窗瘡牎噇
chui	埀锤腄龡菙陲炊圌顀箠垂鎚椎搥吹棰桘槌捶倕錘
chun	纯蝽惷鹑槆犉醕瑃脣睶櫄滣春媋橁蒓鶞萶陙漘萅箺錞堾鰆賰輴浱鯙醇鶉湻椿杶莼偆旾暙淳蓴唇蠢純
chuo	鑡婼龊嚽绰戳辶趠娖踀娕哾涰酫啜綽婥歠餟惙齪擉繛辍逴輟辵磭踔
ci	佌糍鮆茈鷀此蛓雌濨词縒飺差礠磁辝朿柌莿辭髊茦珁疵泚鴜薋赐辤鶿趀蠀垐嬨賜玼呲骴鹚餈茨刾慈皉伺辞次絘甆兹刺佽栨螆庛詞瓷齹祠偨跐
cong	聦騘忩錝鏓棇琮賩繱欉聰骢璁爜謥悰鍯誴樷潨暰熜蓯憁匆樅蟌驄聡丛聪苁瞛瑽潀葱枞怱囱従叢賨蔥婃鏦篵孮樬從漎悤徖淙愡囪徔楤茐藂漗从灇
cou	凑湊辏楱腠輳
cu	蔟誎橻噈觕卒瘄猝蹙踿麤顣麄瘯憱殂怚粗簇醋徂蹴酢脨麁鼀促趣媨踧縬趗蹵
cuan	熶簒躥菆篡鑹竄櫕殩穳镩窜攒巑蹿爨欑撺攛汆
cui	綷淬槯襊墔紣悴竁倅璀疩焠伜翆粹脃毳獕琗縗崔顇翠慛磪萃膬鏙啐漼凗啛嵟濢粋脆缞脺瘁趡榱臎催忰膵摧皠
cun	村邨蹲澊膥竴籿踆皴刌寸侟拵存忖墫
cuo	瑳逪措蓌矬错嵳銼醝痤瘥鎈剒蒫莡鹺剉搓挫睉厝脞撮蹉莝夎锉遳虘鹾錯蔖磋酂嵯
da	畗墶畣呾大塔瘩韃炟惮汏笪眔笚打達噠撘龖鎉薘迚逹搭答跶怛詚亣耷靼匒蟽躂龘疸咑沓剳荙迏羍繨褡垯鎝哒达鐽迖荅鞑嗒妲
dai	帯廗襶叇帒貣大軩紿呆靆贷鴏瀻骀侢迨軑垈黱戴黛獃軚绐殆袋柋跢霴傣带瑇呔懛待緿艜甙埭曃帶蝳怠歹逮岱簤貸玳代轪歺蚮
dan	勯瓭疍沊澹惮衴饏亶餤誕啿耼簞黕聸蛋但殚媅柦癚酖担禫窞擔匰掸馾髧丹躭砃氮鴠箪駳唌蓞鄲繵蜑刐紞嚪嘾帎眈诞玬賧噉萏郸憚弹耽觛頕抌淡襌憺赕甔膽腅旦啗妉石殫啖彈褝黵泹弾単撢聃儋僤單癉伔瘅狚撣胆霮疸单黮贉
dang	檔瞊当蟷攩擋壋蕩噹荡雼铛儅璫档蘯珰砀黨譡挡瓽礑垱逿菪闣艡盪襠簹愓碭筜讜党鐺氹趤谠圵凼婸宕璗潒當裆澢欓嵣簜灙
dao	燾﨩忉翢翿菿祷衟椡捯禂導捣盜道陦壔擣噵导隯舠稲刂衜鱽稻焘瓙悼嶋岛釖螩纛搗禱到朷叨嶌刀氘魛島盗蹈帱槝辺艔倒檤隝嶹軇
de	锝的德得底鍀棏恴嘚淂悳惪地徳
dei	得嘚
den	扥扽
deng	蹬镫簦嶝瞪璒噔戥邓鄧磴墱澄僜嬁覴艠等燈隥登竳櫈鐙凳灯豋
di	阺敌樀覿馰掋唙俤骶的仾苐啇提鏑偙敵羝地墑岻蔋递奃揥笛觝隄甋腣旳埞菧抵嚁堤苖镝廸豴迪媂杕蒂荻磾第蝃柢呧砥娣狄藡拞遞嶳诋棣踶楴趆頔碲螮摕底祶埅墬氐蝭玓帝牴聜睇慸秪焍袛嘀鉪梊坔怟彽糴坘厎遰坻低珶詆滴觌缔蹢締啲逓釱鞮眱涤僀滌鸐嫡邸弟蔕梑弤枤靮髢菂谛軧埊諦蔐翟禘鯳籴
dia	嗲
dian	齻颠椣橂典碘坫婝点磹掂敁癜蜔蕇顛槙滇巔垫钿蒧奠蹎巅癲電槇惦殿巓扂嵮顚敟澱踮婰甸墊點癫攧奌电阽壂店玷傎厧瘨淀驔鈿琔靛簟佃
diao	鳭铫鑃盄鮉雕釣凋蓧掉銚窵錭弔弴钓汈鵰叼奝鯛蛁屌鋽貂調魡调虭刁窎伄訋琱藋铞銱吊鲷瞗彫竨碉鼦扚鸟簓鈟瘹刟雿
die	挕揲鲽艓褺迭苵垤褋疊蜨幉峌眰喋昳惵耋牒趃殜谍碟蹛鴩疂绖螲蝶鰈臷曡眣詄跕疉楪蹀耊氎戜跮咥恎畳牃胅跌爹嵽叠镻哋堞瓞絰諜
ding	虰忊萣奵薡釘碠饤铤顶町仃嵿碇疔艼靪酊锭帄飣丁椗钉矴叮订啶定腚玎顁耵頂鼑濎磸盯錠訂鐤鼎
diu	铥丢銩丟颩
dong	咚鯟岽蕫湩冬氡垌姛董鶇蝀嬞硐娻涷冻諌駧峒懂昸侗棟働挏胴笗崬迵苳動箽腖埬鼕东鶫崠菄胨霘栋戙氭凍東动鸫倲洞鮗恫
dou	抖痘闘枓唗荳毭乧逗酘竇蔸梪鬦郖豆斣唞橷饾蚪鬥閗斗鈄都读鬭兠窦阧脰鬪餖篼鬬渎剅吺钭兜吋陡浢
du	秺阇笃牍黩杜韣髑瓄犢凟琽芏殬賭櫝牘讀裻鑟韇睹蠧蠹豄犊肚讟匵靯皾都醏读荰鍍毒独殰督嬻篤椟剢錖獨贕渎瀆堵赌渡嘟闍度螙妒镀韥覩黷妬騳厾斁読
duan	碫段躖鍴緞塅鍛腶葮媏椴缎锻籪簖断斷端褍偳毈短煅瑖耑
dui	碓鐜對堆镦懟兌瀩鴭頧憞对敦綐譵鐓錞祋憝濧対垖痽怼譈兑轛薱塠兊队陮磓隊
dun	燉盹砘遁潡噸犜沌礅炖踲壿遯庉蹲墪驐敦鈍囤吨蹾惇逇钝碷伅頓趸蜳撴躉盾顿撉楯镦墩
duo	凙綞鵽鈬墮舵沲垜垛堕杕饳敪椯鬌埵喥﨣踱剁缍躲夺亸奪挆躱哚毲跥痥趓嚉哆裰陏多剫惰跺尮澤咄鐸朶媠驮陊挅敚夛軃嚲度柂敓朵铎柮崜桗墯掇刴敠剟憜奲飿
e	颚蚅櫮磀咢訛歞愕諤岋锇悪恶齶额顎礘珴讍枙砨鹅鹗垩額噁軶萼誐腭譌頞鶚偔讹廅遻搹鵈閼卾锷妿鵝扼阿戹鑩峨蛾皒遌湂蝁遏鈪軛鄂鵞迗鍔豟鰐哦妸涐騀咹睋鱷轭屙饿惡峉砐齃鈋鰪俄魤娥吪囮擜堊噩匎呝砈苊崿姶搤頋鋨僫婀餓餩莪琧阏胺谔頟阸娿鳄堨堮峩覨蕚硆厄呃
ei	欸誒
en	煾峎恩蒽奀摁
eng	鞥
er	侕轜刵薾鲕誀袻乻铒弍珥弐栭荋衈尒峏餌樲饵隭迩鮞鸸輀耳趰胹駬髶粫毦貳児尓佴貮臑二唲洱尔陑耏鉺爾洏而髵邇咡聏儿栮鴯贰
fa	伐罰筏瞂垡灋坺疺彂傠峜酦冹阀浌髪墢佱姂藅罚橃琺蕟法鍅砝珐髮发栰乏發閥笩罸茷沷発
fan	軓颿籵樊膰反帆钒鐇返蕃棥笵梵鱕仮瀪礬輽嬎矾範飯凣蘩襎旙盕柉煩蠜繁釩嬏烦勫汎舧畈販払幡舤飰番薠訉滼奿燔轓墦瀿饭泛笲贩繙藩杋匥緐范旛鷭忛飜籓凢璠羳蹯憣橎畨犯氾軬袢噃翻凡
fang	枋房昉防纺倣錺鈁趽紡彷放堏钫肪坊芳访鴋旊匚淓妨蚄昘仿訪瓬眆髣舫邡鲂汸鶭方牥魴
fei	蜚馡吠猆俷緋蜰廃悱曊費萉婓渄痱扉婔誹疿鼣翡暃费蟦奜怫屝肺匪胐榧沸淝飞镄櫠肥腓昲騑鐨飝濷靅靟騛斐菲鲱诽篚陫发废非廢棐霏飛妃蕜鯡啡裶芾朏杮绯胇餥狒厞癈剕
fen	蒶奋竕羵墳分瀵吩汾鼢炃馚獖濆玢燓橨鐼忿秎粪昐豶轒朌鼖蕡坟帉妢糞鱝酚餴奮棻纷鈖芬黂份弅隫訜躮偾焚燌棼鲼黺紛僨憤氛瞓朆豮饙蚠膹衯馩岎蚡粉魵羒幩愤翂坋梤雰枌
feng	鋒鏠锋煈賵凤風碸僼仹灃枫烽蜂妦寷酆丰鳳溄豐檒焨凨盽奉赗鴌凬堼冯琒桻封飌葑峰峯崶浲缝瘋摓縫覂漨艂凮鎽麷馮諷夆砜湗綘沣犎风猦蘴堸疯俸蠭鳯渢沨楓篈鄷唪靊逢讽偑
fo	佛坲梻仏
fou	妚雬殕缻缶否缹紑鴀
fu	峊賦罘泭韍嘸詂幞麸祔邞畐虙麩褔复祓蕧甶妋蚨絥鮲匐諨绋澓箙咐婏冨夫覄麱偩孵稪驸阜脯颫枹附酜呋筟芙蝮蝜芾鍑佛辅孚馥翇甫襥艴斧妇綒玸付懯鉜拂鬴韨乀柎赋哹腹賻阝旉琈彿鉘抚弣復紨俌鵩鳺垘洑鮒秿禣扶玞敷绂負烰縛姇焤柫艀蝠父緮﨓岪鶝媍凫衭鳬幅鮄紼盙俯婦棴豧弗滏粰伕訃肤符富糐踾麬坿赴萯砆砩跗癁缚鳆赙芣伏莩黻怫頫鳧栿荂巿覆罦蜅胕鲋駙鍢袝副蚹刜涪紱辐菔茀黼讣蚥髴茯釜郙捬鈇釡桴笰綍鰒炥複趺袱輔郛蛗怤稃服襆荴袚鄜咈枎腑輻竎膚拊撫负俘椨福帗娐榑苻鴔葍腐椱尃俛簠蜉氟畉府傅嬔輹浮
ga	尬伽噶旮尕錷釓魀咖呷尜轧玍钆夹嘠嘎
gai	郂赅戤侅摡蓋祴絠匄該溉葢匃钙豥荄乢瓂陔隑改賅鈣姟畡概槩漑该盖忋賌芥垓絯晐丐峐槪
gan	忓皯鱤贛仠芉秆杆桿肝詌鳱迀坩橄盰幹赶簳灨攼粓衦骭凎酐竿旰澸鳡矸甘绀疳姏赣泔感凲漧尲擀敢魐笴筸尷苷汵贑稈玕淦檊趕紺干榦倝奸澉柑尶尴
gang	冈肛槓戆岡罁釭疘杠冮戅罡綱港犅岗纲摃焵鎠缸堽鋼刚扛焹戇掆矼崗棡堈钢剛筻牨
gao	菒鷱鼛锆暠夰缟縞鷎檺皐吿郜鋯羔餻鎬镐皋祮藳稿臯膏稁稾韟髙高槔告杲筶禞槁藁誥搞峼祰羙槹篙槀勂糕櫜诰睾橰
ge	佮轕滆膈戈牫敋嗝鞈革閣槅骼個阁格戓閤葛隔圪仡戨鴿謌镉各呄鉻肐犵彁纥鎶愅獦割諽鎘扢胳塥觡匌茖袼滒嗰挌櫊咯鴚韐輵韚搁虼哥蛒鞷硌箇鬲饹盖蛤合哿臵个鸽騔铬裓搿歌鮯舸擱疙
gei	给給
gen	跟亙根茛搄亘揯哏艮
geng	賡畊绠耕刯絚鹒鯁耿更暅赓埂焿椩堩浭縆緪挭綆郠菮梗峺哽庚骾鲠莄颈鶊羮羹
gong	攻嗊貢厷弓拲贡躳龔工躬共塨熕功宮杛愩恭巩鞏幊觥蚣赣慐廾肱碽宫輁龚唝侊觵珙红供匑拱匔栱糼龏公髸汞糿
gou	耈煹冓鈎勾韝緱褠觏狗購芶购耉姤笱簼苟岣够雊彀佝啂痀诟鉤垢覯构鞲搆豿缑钩玽坸媾蚼撀耇句夠訽詬枸篝遘構沟溝袧
gu	詁贾篐馉嘏淈鹘苦棝錮唂蓇呱箛估崮牿蛄锢鼔毂顧箍杚鸪夃軱愲辜汩泒股顾鯝鮕咕鈲軲钴鈷逧古轱沽榾鹄榖皼餶唃笟蠱罟瀔觚嗀嫴鲴鶻故橭家穀堌牯臌菰诂鼓菇柧盬酤罛谷傦僱梏皷脵薣姑雇瞽祻尳骨固稒痼鴣蛊縎濲羖轂孤崓苽糓啒凅
gua	詿劀胍煱罣剐踻颳趏剮歄騧呱叧緺鴰掛刮诖鸹啩褂颪桰卦栝冎寡坬挂絓瓜
guai	罫枴叏怪乖恠夬摑拐箉柺
guan	馆管関貫倌鸛涫關覌琯璭鳤礶关樌罐观纶冠潅遦盥掼矜雚鹳鱹泴官錧矔毌蒄観串悺悹館摜丱棺鑵窤輨瓘觀鰥瘝卝慣灌鏆莞筦鱞癏舘祼痯欟罆躀爟贯鳏惯闗
guang	黆灮广烡犷光輄銧炛炗廣獷臦俇珖洸広臩姯咣炚逛桄垙]胱茪僙
gui	嬀槼蓕鐀癸瞡闺櫃厬摫鬼规櫷庋昋胿媯帰贵匦劌軌攰跪皈撌檜蟡轨襘龟鑎璝诡龜炅閨椢禬郌庪恑茥規亀攱桂騩瑰湀妫刿鱖硅筀陒雟猤宄劊觤袿鬶嶲簋蛫鞼槶槻炔歸詭归匭嫢鳜垝鬹瞆鱥癐桧祪刽蘬鲑螝柜邽廆瓌佹珪圭氿貴椝鮭樻姽晷瞶
gun	鲧緷蓘滚緄睔鮌滾磙謴棍惃丨鯀蔉袞绲衮輥辊
guo	猓咶锅囶楇槨腘圀聒綶嘓椁濄鐹簂掴果幗涡聝慖国过虢惈蜾鍋崞馘淉裹啯呙囯過埚輠彉膕郭堝懖國鈛粿漍帼褁瘑囻蔮蟈馃彍餜腂蝈菓墎
ha	奤呵紦哈鉿虾铪蛤
hai	海餀饚骸駭嗨骇妎塰害醢孩酼嗐氦亥咍胲駴还烸咳
haixun	浔
han	厈蚶焓屽瀚漢菡韩蜭顸函嫨娢崡梒汗睅暵魽旱駻琀爳浫凾虷憨垾顄邯鼾鶾哻甝悍捍酣雗韓銲譀筨撖浛晘犴螒翰唅颔喊蛿蔊晗扞釬豃傼蜬憾感閈涵猂闬罕兯圅鋎焊熯頇佄汉嵅澏寒皔馠谽邗涆莟馯鋡頷含撼
hang	炕筕吭蚢杭笐苀魧斻颃迒航夯絎貥珩裄行巷頏沆肮绗垳桁
hao	滈淏蒿嚆毫籇嗥獔蠔皞獆壕侴暤灝灏乚澔獋镐皋郝号鄗聕顥茠噑哠颢蚝恏好昊暭皡竓譹嚎濠皓椃儫號皥薧豪秏皜傐薃曍嘷鰝昦悎耗晧薅貉浩毜
he	河吓燺袔訸頜螛鹤餲郃翮阖嗃猲曷呵姀惒澕柇佫哬焃鑉咊龢貉盍褐赫賀渮啝訶楁涸爀鲄盒盉抲纥贺餄煂篕颌鶮熆鸖鹄麧荷龁寉核嗬翯鞨靍釛蠚劾嚇敆闔鶡萂垎謞鹖鶴粭碋毼菏魺和欱饸熇合诃皬靎禾狢籺阂盇鉌礉害峆壑齕紇癋詥喝靏貈覈何閡牙合
hei	黑潶黒嗨嘿
hen	拫很哏詪佷狠鞎恨痕
heng	姮胻涥鵆哼亨蘅恒珩行啈撗脝衡烆鴴恆横鸻橫悙鑅桁
hong	紭仜粠篊屸沗霟讧紘晎耾呍撔嚝谼哄泓叿黉焢澒葒葓翃渹荭闳硡硔鍧鬨薨唝闂渱汯洪彋揈纮訌轟谹虹紅鸿閎魟吽垬弘鉷竤霐輷妅銾訇竑綋鴻玜軣吰轰烘潂灴蕻羾翝黌玒娂鈜鞃鋐闀宖浤閧红谾宏苰
hou	矦銗洉瘊齁鮜厚帿翭鍭犼篌逅豞葔糇睺堠餱候侯後吼鱟郈垕鯸鲎鄇翵茩骺鲘猴喉后
hu	鹘粐虖胡錿沍泘沪鍸隺滸互葫歑瑚嫮俿怘鍙瀫芐鶘虝乕曶苸謼糊弧壶狐忽鬍婟槲楛頶浒帍囫乎綔鸌滹滬護頀媩虎匫琥絗雽瓠軤鹄雐縠戸核烀壺汻祜护槴戽瓳煳嗀鹕抇壷呼嘝冱扈嗀鯱轷螜芴魱蝴戶虍幠笏昒惚唿焀摢垀恗和嚛昈鳸簄唬戏嫭醐怙餬匢雇熩鹱鳠鱯搰膴蔰猢岵湖鰗寣萀豰箶鵠弖枑户淴鶦鄠斛觳喖楜蔛衚嘑
hua	哗糀画黊誮滑畫杹蕐嘩畵呚婲錵磆蒊猾砉觟嫿鲑譁樺嬅椛鋘硴鷨婳骅铧摦蘤澅諣撶舙話桦繣螖譮諙划驊釫搳華釪鏵槬埖枠话化夻劃姡崋花华
huai	淮划踝蘾褢怀瀤壊坏褱徊懐櫰耲槐懷壞蘹
huan	浣豲睆煥郇糫逭渙獂犿鬟歓锾缓喛鐶梙歡鍰闤烉漶鹮堚繯環洹萑嚾緩瑍嵈峘攌讙奐孉眩欢貆澣藧瓛肒獾酄鲩狟貛涣還鴅豢鰀嬛患焕寰寏阛愌轘喚幻鯶萈槵宦换瘓桓綄絙換圜唤痪镮澴缳鯇鵍环擐荁奂懽还羦雈驩
huang	巟蟥滉崲鷬黃黄艎瑝穔簧獚熿癀媓璜慌朚遑騜奛縨皝徨宺惶趪晃謊鱑楻愰蝗鎤皇諻榥鳇喤潢偟葟鐄曂幌餭揘墴韹怳隍肓堭锽恍鍠篁塃磺荒兤湟谎櫎凰熀鰉煌炾衁詤晄皩
hui	烣缋睢頮揮獩儶隳詼堕瞺櫘僡迴诙哕逥茴囘瘣顪璯挥隓悔泋詯鐬蔧颒婎毁绘秽灳烩徽虫誨蜖蟪橞懳蛕洄嚖濊嘒汇薉毀晦徻睳槥鰴痐翬豗慧撝諱珲譭嬒廻咴恚蘳翚蛔寭虺诲鮰恛蕙讳佪潓屷湏輝麾恢会囬灰芔贿繢闠瀈匯蚘惠恵拻戏噅憓洃屶暉袆彗幑卉楎彙禈賄廽藱會晖燬圚翽譓繪浍翙桧鏸褘檓媈煇暳絵滙廆彚回靧檅篲喙烠餯燴璤穢炜薈噕荟毇阓譿辉
hun	葷慁忶掍尡睯混浑睧焝昬阍睴餛蔒溷閽渾荤倱諢俒婫珲鼲觨棔琿涽婚轋惛圂魂馄诨殙昏
huo	捇眓劐邩貨窢雘癨耯艧奯嚄咟吙濩嚯攉惑夥秴豁货喐旤獲謋瀖嚿曤蒦锪或霍韄剨钬靃灬祸沎鍃活秳镬彟蠖彠閄煷和获矆俰禍穫擭掝鈥漷湱臛檴耠秮鑊矐伙藿火騞佸
